Filename: 1.yml Accuracy: 0.1362 Gain: 36.21% {'num_labels': 10, 'image_size': 32, 'num_iter': 10000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1960 Gain: 96.01% {'num_labels': 10, 'image_size': 32, 'num_iter': 10000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1133 Gain: 13.33% {'num_labels': 10, 'image_size': 32, 'num_iter': 10000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.0800 Gain: -20.00% {'num_labels': 10, 'image_size': 16, 'num_iter': 10000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1000 Gain: 0.00% {'num_labels': 10, 'image_size': 16, 'num_iter': 10000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1133 Gain: 13.33% {'num_labels': 10, 'image_size': 16, 'num_iter': 50000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1400 Gain: 40.00% {'num_labels': 10, 'image_size': 16, 'num_iter': 50000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1600 Gain: 60.00% {'num_labels': 10, 'image_size': 16, 'num_iter': 50000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.0933 Gain: -6.67% {'num_labels': 10, 'image_size': 16, 'num_iter': 10000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.0103 Gain: 98.97% {'num_labels': 194, 'image_size': 64, 'num_iter': 10000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.0092 Gain: 79.08% {'num_labels': 194, 'image_size': 64, 'num_iter': 10000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.0085 Gain: 65.81% {'num_labels': 194, 'image_size': 64, 'num_iter': 10000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.0123 Gain: 138.77% {'num_labels': 194, 'image_size': 64, 'num_iter': 10000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 4.yml Accuracy: 0.1467 Gain: 46.67% {'num_labels': 10, 'image_size': 56, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 4.yml Accuracy: 0.1467 Gain: 46.67% {'num_labels': 10, 'image_size': 56, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 4.yml Accuracy: 0.1467 Gain: 46.67% {'num_labels': 10, 'image_size': 56, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 4.yml Accuracy: 0.1467 Gain: 46.67% {'num_labels': 10, 'image_size': 56, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 4.yml Accuracy: 0.1467 Gain: 46.67% {'num_labels': 10, 'image_size': 56, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 4.yml Accuracy: 0.1467 Gain: 46.67% {'num_labels': 10, 'image_size': 56, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 4.yml Accuracy: 0.1467 Gain: 46.67% {'num_labels': 10, 'image_size': 56, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 4.yml Accuracy: 0.1467 Gain: 46.67% {'num_labels': 10, 'image_size': 56, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 4.yml Accuracy: 0.1467 Gain: 46.67% {'num_labels': 10, 'image_size': 56, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 4.yml Accuracy: 0.1467 Gain: 46.67% {'num_labels': 10, 'image_size': 56, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 4.yml Accuracy: 0.1467 Gain: 46.67% {'num_labels': 10, 'image_size': 56, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 4.yml Accuracy: 0.1467 Gain: 46.67% {'num_labels': 10, 'image_size': 56, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 4.yml Accuracy: 0.1467 Gain: 46.67% {'num_labels': 10, 'image_size': 56, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 4.yml Accuracy: 0.1467 Gain: 46.67% {'num_labels': 10, 'image_size': 56, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 4.yml Accuracy: 0.1467 Gain: 46.67% {'num_labels': 10, 'image_size': 56, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 4.yml Accuracy: 0.1467 Gain: 46.67% {'num_labels': 10, 'image_size': 56, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 4.yml Accuracy: 0.1467 Gain: 46.67% {'num_labels': 10, 'image_size': 56, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 4.yml Accuracy: 0.1267 Gain: 26.67% {'num_labels': 10, 'image_size': 56, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 4.yml Accuracy: 0.1667 Gain: 66.67% {'num_labels': 10, 'image_size': 56, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 4.yml Accuracy: 0.1200 Gain: 20.00% {'num_labels': 10, 'image_size': 56, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 4.yml Accuracy: 0.1067 Gain: 6.67% {'num_labels': 10, 'image_size': 56, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 4.yml Accuracy: 0.0933 Gain: -6.67% {'num_labels': 10, 'image_size': 56, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 4.yml Accuracy: 0.1200 Gain: 20.00% {'num_labels': 10, 'image_size': 56, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 4.yml Accuracy: 0.1133 Gain: 13.33% {'num_labels': 10, 'image_size': 56, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 4.yml Accuracy: 0.1200 Gain: 20.00% {'num_labels': 10, 'image_size': 56, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 4.yml Accuracy: 0.1067 Gain: 6.67% {'num_labels': 10, 'image_size': 56, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Date: 2018-09-11-23-08-51 Filename: 4.yml Accuracy: 0.1133 Gain: 13.33% {'num_labels': 10, 'image_size': 56, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Date: 2018-09-11-23-15-05 Filename: 4.yml Accuracy: 0.1667 Gain: 66.67% {'num_labels': 10, 'image_size': 56, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
